num;nome;posto;Posto jusante;Quantos a montante?;Posto montante 1;Posto montante 2;Posto montante 3;Posto montante 4;Posto montante 5;Posto montante 6
169;SOBRADINHO;169;170;2;158;156;999;999;999;999
127;SOBRAGI;198;127;1;197;999;999;999;999;999
283;STA CLARA MG;283;999;0;999;999;999;999;999;999
71;STA CLARA PR;71;72;0;999;999;999;999;999;999
286;STO ANT JARI;290;999;1;999;999;999;999;999;999
287;STO ANTONIO;287;999;1;285;999;999;999;999;999
340;TABAJARA;340;999;1;145;999;999;999;999;999
62;TAQUARUCU;62;63;1;61;999;999;999;999;999
56;TELEM BORBA;56;57;0;999;999;999;999;999;999
229;TELES PIRES;229;230;1;228;999;999;999;999;999
270;TORIXOREU;370;999;0;999;999;999;999;999;999
156;TRES MARIAS;156;493;2;155;999;999;999;999;999
275;TUCURUI;275;999;1;35;999;999;999;999;999
11;VOLTA GRANDE;11;12;1;10;999;999;999;999;999
178;XINGO;178;999;1;176;999;999;999;999;999
